STATION_NAME,LAT,LON,Annual,0
TIBOOBURRA-POST-OFFICE,-29.43,142.01,29.1,252.15897435897438
TOWNSVILLE-AERO,-19.25,146.77,30.39,240.03448717948712
VICTORIA-RIVER-DOWNS,-16.4,131.01,35.86,260.966282051282
WAGGA-WAGGA-AMO,-35.16,147.46,23.59,210.08141025641032
WALGETT-AIRPORT-AWS,-30.04,148.12,28.74,235.60051282051282
WANDERING,-32.67,116.67,24.46,226.28371794871796
WEIPA-AERO,-12.68,141.92,33.58,234.94999999999993
WILCANNIA-REID-ST,-31.56,143.37,27.83,240.45653846153846
WILLIAMTOWN-RAAF,-32.79,151.84,24.52,200.36358974358973
WILSONS-PROMONTORY-LIGHTHOUSE,-39.13,146.42,17.5,183.60974358974363
WITTENOOM,-22.24,118.34,34.69,265.6950000000001
WOOMERA-AERODROME,-31.16,136.81,27.37,233.30282051282046
WYALONG-POST-OFFICE,-33.93,147.24,25.07,223.50782051282053
YAMBA-PILOT-STATION,-29.43,153.36,25.17,211.00641025641022
ADELAIDE-KENT-TOWN,-34.92,138.62,23.69,216.00115384615384
ALBANY-AIRPORT-COMPARISON,-34.94,117.8,21.1,204.08487179487182
ALICE-SPRINGS-AIRPORT,-23.8,133.89,30.06,266.0256410256411
AMBERLEY-AMO,-27.63,152.71,28.5,219.59115384615384
BARCALDINE-POST-OFFICE,-23.55,145.29,31.9,256.9039743589743
BATHURST-AGRICULTURAL-STATION,-33.43,149.56,21.48,210.15679487179492
BIRDSVILLE-AIRPORT,-25.9,139.35,32.45,264.346282051282
BOULIA-AIRPORT,-22.91,139.9,33.66,271.0491025641026
BOURKE-AIRPORT-AWS,-30.04,145.95,29.09,240.50217948717938
BRIDGETOWN-COMPARISON,-33.96,116.14,23.86,217.25179487179483
BRISBANE-AERO,-27.39,153.12,26.6,215.48448717948725
BROOME-AIRPORT,-17.95,122.23,33.38,263.2
BUNDABERG-AERO,-24.91,152.32,27.93,230.59320512820517
BURKETOWN-AIRPORT,-17.75,139.54,34.38,248.6629487179487
BUTLERS-GORGE,-42.28,146.28,14.51,160.02961538461548
CABRAMURRA-SMHEA-AWS,-35.94,148.38,13.13,204.5866666666667
CAIRNS-AERO,-16.87,145.75,30.38,227.01217948717954
CAMOOWEAL-TOWNSHIP,-19.92,138.12,34.65,263.06576923076926
CANBERRA-AIRPORT,-35.31,149.2,21.76,199.95948717948724
CAPE-BORDA,-35.75,136.6,19.66,197.25051282051285
CAPE-BRUNY-LIGHTHOUSE,-43.49,147.15,16.55,160.00500000000005
CAPE-LEEUWIN,-34.37,115.14,20.83,203.24038461538467
CAPE-MORETON-LIGHTHOUSE,-27.03,153.47,25.19,215.48448717948725
CAPE-OTWAY-LIGHTHOUSE,-38.86,143.51,17.99,179.97923076923078
CARNARVON-AIRPORT,-24.89,113.67,28.45,266.3053846153845
CEDUNA-AMO,-32.13,133.7,25.23,222.31961538461533
CHARLEVILLE-AERO,-26.41,146.26,30.09,248.8498717948718
CHARTERS-TOWERS-AIRPORT,-20.05,146.27,31.3,252.9807692307692
COBAR-MO,-31.48,145.83,26.83,234.0566666666666
COFFS-HARBOUR-MO,-30.31,153.12,24.94,206.5312820512821
CUNDERDIN-AIRFIELD,-31.62,117.22,27.01,239.94205128205127
DALWALLINU-COMPARISON,-30.28,116.66,27.89,244.93717948717946
DARWIN-AIRPORT,-12.42,130.89,33.42,238.56987179487186
DENILIQUIN-AIRPORT-AWS,-35.56,144.95,24.63,217.4278205128206
DUBBO-AIRPORT-AWS,-32.22,148.58,25.37,225.25448717948706
EAST-SALE-AIRPORT,-38.12,147.13,21.34,185.64371794871795
ESPERANCE,-33.83,121.89,22.86,213.71282051282054
EUCLA,-31.68,128.88,24.04,225.51974358974354
FORREST,-30.85,128.11,27.12,233.7058974358974
GABO-ISLAND-LIGHTHOUSE,-37.57,149.92,19.71,180.68423076923068
GAYNDAH-AIRPORT,-25.62,151.62,29.76,227.89756410256413
